Stay    ;BodyType ;AircraftType ;NbTowings ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode
3299854 ;MP       ;         319 ;        0 ;      7685 ;09/08/2022 ;20:00    ;MC               ;      9440 ;09/08/2022 ;21:00    ;MC
3299926 ;MP       ;         321 ;        0 ;      7673 ;09/08/2022 ;07:50    ;MC               ;      7736 ;09/08/2022 ;08:50    ;MC
3299947 ;MP       ;         223 ;        0 ;      1579 ;09/08/2022 ;08:30    ;MC               ;      1146 ;09/08/2022 ;09:30    ;MC
3300041 ;MP       ;         320 ;        0 ;      7669 ;09/08/2022 ;11:25    ;MC               ;      1832 ;09/08/2022 ;12:25    ;MC
3300046 ;MP       ;         223 ;        0 ;      1549 ;09/08/2022 ;20:00    ;MC               ;      1134 ;09/08/2022 ;20:55    ;MC
3300054 ;MP       ;         320 ;        0 ;      1243 ;09/08/2022 ;08:40    ;MC               ;      7662 ;09/08/2022 ;09:35    ;MC
3298993 ;MP       ;         320 ;        1 ;      1003 ;09/08/2022 ;18:40    ;MC               ;      1242 ;09/08/2022 ;20:45    ;MC
3299606 ;MP       ;         320 ;        0 ;      1583 ;09/08/2022 ;08:20    ;MC               ;      1262 ;09/08/2022 ;09:15    ;MC
3299609 ;MP       ;         320 ;        0 ;      1241 ;09/08/2022 ;10:50    ;MC               ;      1640 ;09/08/2022 ;11:45    ;MC
3299618 ;MP       ;         320 ;        0 ;      1641 ;09/08/2022 ;15:25    ;MC               ;      1194 ;09/08/2022 ;16:20    ;MC
3299647 ;MP       ;         320 ;        0 ;      1091 ;09/08/2022 ;12:45    ;MC               ;      1098 ;09/08/2022 ;13:45    ;MC
3299700 ;MP       ;         223 ;        0 ;      1295 ;09/08/2022 ;14:40    ;MC               ;      1328 ;09/08/2022 ;15:35    ;MC
3299701 ;MP       ;         321 ;        0 ;      7349 ;09/08/2022 ;11:20    ;MC               ;      7514 ;09/08/2022 ;12:35    ;MC
3299763 ;MP       ;         319 ;        0 ;      1567 ;09/08/2022 ;17:05    ;MC               ;      1766 ;09/08/2022 ;18:05    ;MC
3299774 ;MP       ;         321 ;        0 ;      1005 ;09/08/2022 ;08:35    ;MC               ;      7720 ;09/08/2022 ;09:35    ;MC
3299825 ;MP       ;         223 ;        0 ;      1135 ;09/08/2022 ;08:05    ;MC               ;      1150 ;09/08/2022 ;09:20    ;MC
3300092 ;MP       ;         319 ;        0 ;      1025 ;09/08/2022 ;15:40    ;MC               ;      7588 ;09/08/2022 ;16:30    ;MC
3300102 ;MP       ;         223 ;        0 ;      1083 ;09/08/2022 ;19:55    ;MC               ;      1610 ;09/08/2022 ;20:50    ;MC
3300103 ;MP       ;         320 ;        0 ;      1447 ;09/08/2022 ;15:15    ;MC               ;      1342 ;09/08/2022 ;16:15    ;MC
3300105 ;MP       ;         321 ;        0 ;      7641 ;09/08/2022 ;10:35    ;MC               ;      7664 ;09/08/2022 ;11:30    ;MC
3300133 ;MP       ;         320 ;        0 ;      7625 ;09/08/2022 ;12:35    ;MC               ;      1600 ;09/08/2022 ;13:30    ;MC
3300134 ;MP       ;         319 ;        0 ;      1067 ;09/08/2022 ;11:40    ;MC               ;      1566 ;09/08/2022 ;12:45    ;MC
3300168 ;MP       ;         321 ;        0 ;      7725 ;09/08/2022 ;12:35    ;MC               ;      1528 ;09/08/2022 ;14:15    ;MC
3300177 ;MP       ;         318 ;        0 ;      1411 ;09/08/2022 ;11:25    ;MC               ;      1622 ;09/08/2022 ;12:20    ;MC
3300191 ;MP       ;         318 ;        0 ;      1229 ;09/08/2022 ;11:35    ;MC               ;      1442 ;09/08/2022 ;12:40    ;MC
3300219 ;MP       ;         223 ;        0 ;      1301 ;09/08/2022 ;14:25    ;MC               ;      1604 ;09/08/2022 ;15:25    ;MC
3300229 ;MP       ;         320 ;        0 ;      1727 ;09/08/2022 ;17:05    ;MC               ;      1312 ;09/08/2022 ;18:20    ;MC
3300237 ;MP       ;         321 ;        0 ;      7667 ;09/08/2022 ;15:10    ;MC               ;      7706 ;09/08/2022 ;16:10    ;MC
3300251 ;MP       ;         321 ;        0 ;      7525 ;09/08/2022 ;20:40    ;MC               ;      7526 ;09/08/2022 ;21:40    ;MC
3300254 ;MP       ;         223 ;        0 ;      1511 ;09/08/2022 ;20:00    ;MC               ;      1350 ;09/08/2022 ;20:55    ;MC
3300271 ;MP       ;         319 ;        0 ;      1267 ;09/08/2022 ;08:20    ;MC               ;      1366 ;09/08/2022 ;09:15    ;MC
3300276 ;MP       ;         319 ;        0 ;      1235 ;09/08/2022 ;17:10    ;MC               ;      1534 ;09/08/2022 ;18:00    ;MC
3300287 ;MP       ;         321 ;        0 ;      7711 ;09/08/2022 ;07:30    ;MC               ;      7688 ;09/08/2022 ;08:40    ;MC
3300291 ;MP       ;         319 ;        0 ;      7517 ;09/08/2022 ;10:40    ;MC               ;      1012 ;09/08/2022 ;11:30    ;MC
3300292 ;MP       ;         321 ;        0 ;      9427 ;09/08/2022 ;15:30    ;MC               ;      1494 ;09/08/2022 ;16:45    ;MC
3300293 ;MP       ;         321 ;        0 ;      7681 ;09/08/2022 ;07:20    ;MC               ;      1340 ;09/08/2022 ;08:20    ;MC
3300324 ;MP       ;         319 ;        0 ;      1667 ;09/08/2022 ;20:00    ;MC               ;      1266 ;09/08/2022 ;20:55    ;MC
3300338 ;MP       ;         223 ;        0 ;      1233 ;09/08/2022 ;14:50    ;MC               ;      1510 ;09/08/2022 ;15:50    ;MC
3300350 ;MP       ;         319 ;        0 ;      9441 ;09/08/2022 ;08:40    ;MC               ;      7702 ;09/08/2022 ;09:30    ;MC
3300387 ;MP       ;         320 ;        0 ;      7737 ;09/08/2022 ;07:25    ;MC               ;      1072 ;09/08/2022 ;08:20    ;MC
3300397 ;MP       ;         321 ;        0 ;      1401 ;09/08/2022 ;08:05    ;MC               ;      1104 ;09/08/2022 ;09:15    ;MC
3300403 ;MP       ;         223 ;        0 ;      1227 ;09/08/2022 ;19:45    ;MC               ;      1238 ;09/08/2022 ;21:05    ;MC
3300427 ;MP       ;         321 ;        0 ;      7733 ;09/08/2022 ;20:30    ;MC               ;      7670 ;09/08/2022 ;21:30    ;MC
3300436 ;MP       ;         319 ;        0 ;      9455 ;09/08/2022 ;19:50    ;MC               ;      1448 ;09/08/2022 ;21:05    ;MC
3300437 ;MP       ;         223 ;        0 ;      1239 ;09/08/2022 ;08:15    ;MC               ;      1294 ;09/08/2022 ;09:15    ;MC
3300456 ;MP       ;         321 ;        0 ;      1725 ;09/08/2022 ;20:50    ;MC               ;      7728 ;09/08/2022 ;21:50    ;MC
3300476 ;MP       ;         223 ;        0 ;      1733 ;09/08/2022 ;08:25    ;MC               ;      1138 ;09/08/2022 ;09:20    ;MC
3300483 ;MP       ;         321 ;        0 ;      7629 ;09/08/2022 ;17:05    ;MC               ;      7708 ;09/08/2022 ;18:10    ;MC
3300493 ;MP       ;         321 ;        0 ;      7523 ;09/08/2022 ;16:05    ;MC               ;      7738 ;09/08/2022 ;17:05    ;MC
3300549 ;MP       ;         223 ;        0 ;      1851 ;09/08/2022 ;16:55    ;MC               ;      1050 ;09/08/2022 ;17:50    ;MC
3300558 ;MP       ;         223 ;        0 ;      1731 ;09/08/2022 ;19:25    ;MC               ;      1578 ;09/08/2022 ;20:35    ;MC
3300578 ;MP       ;         319 ;        0 ;      9421 ;09/08/2022 ;15:15    ;MC               ;      7686 ;09/08/2022 ;16:35    ;MC
3300579 ;MP       ;         320 ;        0 ;      1347 ;09/08/2022 ;18:25    ;MC               ;      1246 ;09/08/2022 ;19:20    ;MC
3300581 ;MP       ;         321 ;        0 ;      7689 ;09/08/2022 ;12:10    ;MC               ;      1724 ;09/08/2022 ;13:30    ;MC
3300654 ;MP       ;         223 ;        0 ;      1533 ;09/08/2022 ;16:55    ;MC               ;      1248 ;09/08/2022 ;17:50    ;MC
3300655 ;MP       ;         320 ;        0 ;      1601 ;09/08/2022 ;18:50    ;MC               ;      1582 ;09/08/2022 ;20:15    ;MC
3300665 ;MP       ;         321 ;        0 ;      7701 ;09/08/2022 ;12:40    ;MC               ;      7634 ;09/08/2022 ;13:45    ;MC
3300679 ;MP       ;         223 ;        0 ;      1071 ;09/08/2022 ;19:45    ;MC               ;      1732 ;09/08/2022 ;20:55    ;MC
3300695 ;MP       ;         223 ;        0 ;      1139 ;09/08/2022 ;14:20    ;MC               ;      1548 ;09/08/2022 ;15:25    ;MC
3300702 ;MP       ;         319 ;        0 ;      1349 ;09/08/2022 ;14:35    ;MC               ;      1666 ;09/08/2022 ;15:40    ;MC
3300709 ;MP       ;         223 ;        0 ;      1179 ;09/08/2022 ;14:40    ;MC               ;      1730 ;09/08/2022 ;15:35    ;MC
3300714 ;MP       ;         223 ;        1 ;      1611 ;09/08/2022 ;07:45    ;MC               ;      1734 ;09/08/2022 ;09:45    ;MC
3300731 ;MP       ;         321 ;        0 ;      9453 ;09/08/2022 ;20:30    ;MC               ;      7712 ;09/08/2022 ;21:35    ;MC
3300780 ;MP       ;         319 ;        0 ;      1831 ;09/08/2022 ;11:55    ;MC               ;      1234 ;09/08/2022 ;12:50    ;MC
3300800 ;MP       ;         319 ;        0 ;      1247 ;09/08/2022 ;08:35    ;MC               ;      1024 ;09/08/2022 ;09:35    ;MC
3300807 ;MP       ;         319 ;        0 ;      1695 ;09/08/2022 ;08:25    ;MC               ;      9420 ;09/08/2022 ;09:15    ;MC
3300843 ;MP       ;         318 ;        2 ;      1123 ;09/08/2022 ;09:00    ;MC               ;      7704 ;09/08/2022 ;13:20    ;MC
3300848 ;MP       ;         321 ;        0 ;      7705 ;09/08/2022 ;11:15    ;MC               ;      1304 ;09/08/2022 ;12:20    ;MC
3300906 ;MP       ;         223 ;        0 ;      1735 ;09/08/2022 ;14:10    ;MC               ;      1226 ;09/08/2022 ;15:20    ;MC
3300962 ;MP       ;         320 ;        0 ;      1073 ;09/08/2022 ;16:15    ;MC               ;      1100 ;09/08/2022 ;17:10    ;MC
3300990 ;MP       ;         321 ;        0 ;      7645 ;09/08/2022 ;16:05    ;MC               ;      7524 ;09/08/2022 ;17:15    ;MC
3300992 ;MP       ;         320 ;        0 ;      1649 ;09/08/2022 ;17:10    ;MC               ;      1526 ;09/08/2022 ;18:05    ;MC
3301003 ;MP       ;         320 ;        0 ;      1643 ;09/08/2022 ;11:45    ;MC               ;      1648 ;09/08/2022 ;12:40    ;MC
3301034 ;MP       ;         320 ;        0 ;      1343 ;09/08/2022 ;19:30    ;MC               ;      1462 ;09/08/2022 ;20:50    ;MC
3301038 ;MP       ;         321 ;        0 ;      7649 ;09/08/2022 ;20:40    ;MC               ;      7648 ;09/08/2022 ;21:55    ;MC
3301051 ;MP       ;         320 ;        0 ;      1291 ;09/08/2022 ;20:40    ;MC               ;      1694 ;09/08/2022 ;21:35    ;MC
3301080 ;MP       ;         320 ;        0 ;      1449 ;09/08/2022 ;08:10    ;MC               ;      7624 ;09/08/2022 ;09:20    ;MC
3301145 ;MP       ;         320 ;        0 ;      1149 ;09/08/2022 ;11:45    ;MC               ;      1726 ;09/08/2022 ;12:45    ;MC
3301160 ;MP       ;         319 ;        0 ;      7627 ;09/08/2022 ;13:35    ;MC               ;      1288 ;09/08/2022 ;14:55    ;MC
3301162 ;MP       ;         321 ;        0 ;      1529 ;09/08/2022 ;19:35    ;MC               ;      1032 ;09/08/2022 ;20:45    ;MC
3301172 ;MP       ;         318 ;        0 ;      7727 ;09/08/2022 ;11:30    ;MC               ;      7710 ;09/08/2022 ;12:20    ;MC
3301194 ;MP       ;         319 ;        0 ;      1275 ;09/08/2022 ;08:35    ;MC               ;      9414 ;09/08/2022 ;09:25    ;MC
3301201 ;MP       ;         319 ;        0 ;      1041 ;09/08/2022 ;16:35    ;MC               ;      7668 ;09/08/2022 ;17:25    ;MC
3301224 ;MP       ;         321 ;        0 ;      7651 ;09/08/2022 ;07:05    ;MC               ;      7348 ;09/08/2022 ;08:05    ;MC
3301241 ;MP       ;         319 ;        0 ;      1429 ;09/08/2022 ;12:30    ;MC               ;      7666 ;09/08/2022 ;13:35    ;MC
3301260 ;MP       ;         319 ;        0 ;      7665 ;09/08/2022 ;17:10    ;MC               ;      1022 ;09/08/2022 ;18:10    ;MC
3301275 ;MP       ;         223 ;        0 ;      1329 ;09/08/2022 ;19:45    ;MC               ;      1176 ;09/08/2022 ;20:45    ;MC
3301279 ;MP       ;         319 ;        0 ;      1367 ;09/08/2022 ;13:35    ;MC               ;      9454 ;09/08/2022 ;14:55    ;MC
3301288 ;MP       ;         223 ;        0 ;      1177 ;09/08/2022 ;08:20    ;MC               ;      1178 ;09/08/2022 ;09:15    ;MC
3301345 ;MP       ;         318 ;        0 ;      7707 ;09/08/2022 ;17:05    ;MC               ;      1440 ;09/08/2022 ;17:50    ;MC
3301349 ;MP       ;         320 ;        0 ;      7713 ;09/08/2022 ;11:30    ;MC               ;      7724 ;09/08/2022 ;12:25    ;MC
3301359 ;MP       ;         223 ;        0 ;      1213 ;09/08/2022 ;11:20    ;MC               ;      1850 ;09/08/2022 ;12:15    ;MC
3301388 ;MP       ;         223 ;        0 ;      1029 ;09/08/2022 ;08:20    ;MC               ;      1532 ;09/08/2022 ;09:15    ;MC
3301389 ;MP       ;         318 ;        0 ;      1443 ;09/08/2022 ;15:55    ;MC               ;      1140 ;09/08/2022 ;16:40    ;MC
3301391 ;MP       ;         223 ;        0 ;      1225 ;09/08/2022 ;13:05    ;MC               ;      1378 ;09/08/2022 ;14:25    ;MC
3301393 ;MP       ;         321 ;        0 ;      1625 ;09/08/2022 ;19:25    ;MC               ;      1124 ;09/08/2022 ;20:45    ;MC
3301417 ;MP       ;         320 ;        0 ;      1463 ;09/08/2022 ;08:50    ;MC               ;      7652 ;09/08/2022 ;09:55    ;MC
3301428 ;MP       ;         319 ;        0 ;      1289 ;09/08/2022 ;20:35    ;MC               ;      1326 ;09/08/2022 ;21:35    ;MC
3301430 ;MP       ;         319 ;        0 ;      7637 ;09/08/2022 ;21:05    ;MC               ;      7684 ;09/08/2022 ;21:55    ;MC
3301432 ;MP       ;         318 ;        0 ;      1623 ;09/08/2022 ;16:20    ;MC               ;      1404 ;09/08/2022 ;17:05    ;MC
3301453 ;MP       ;         321 ;        0 ;      1341 ;09/08/2022 ;11:55    ;MC               ;      1624 ;09/08/2022 ;13:10    ;MC
3301460 ;MP       ;         319 ;        0 ;      7515 ;09/08/2022 ;17:40    ;MC               ;      1042 ;09/08/2022 ;18:30    ;MC
3301500 ;MP       ;         318 ;        0 ;      1141 ;09/08/2022 ;20:00    ;MC               ;      1122 ;09/08/2022 ;20:55    ;MC
3301516 ;MP       ;         320 ;        0 ;      7643 ;09/08/2022 ;13:05    ;MC               ;      1290 ;09/08/2022 ;14:20    ;MC
3301517 ;MP       ;         321 ;        1 ;      1125 ;09/08/2022 ;09:10    ;MC               ;      9452 ;09/08/2022 ;11:20    ;MC
3301572 ;MP       ;         223 ;        0 ;      1423 ;09/08/2022 ;11:40    ;MC               ;      1070 ;09/08/2022 ;12:50    ;MC
3301573 ;MP       ;         321 ;        0 ;      7621 ;09/08/2022 ;07:30    ;MC               ;      7528 ;09/08/2022 ;08:30    ;MC
3301581 ;MP       ;         320 ;        0 ;      1127 ;09/08/2022 ;11:45    ;MC               ;      1346 ;09/08/2022 ;12:50    ;MC
3301599 ;MP       ;         223 ;        0 ;      1147 ;09/08/2022 ;15:05    ;MC               ;      1062 ;09/08/2022 ;16:10    ;MC
3301616 ;MP       ;         321 ;        0 ;      7683 ;09/08/2022 ;16:35    ;MC               ;      7646 ;09/08/2022 ;17:40    ;MC
3301618 ;MP       ;         319 ;        0 ;      1481 ;09/08/2022 ;13:15    ;MC               ;      7522 ;09/08/2022 ;14:05    ;MC
3301631 ;MP       ;         321 ;        0 ;      7521 ;09/08/2022 ;12:00    ;MC               ;      7680 ;09/08/2022 ;13:05    ;MC
3301637 ;MP       ;         319 ;        0 ;      9415 ;09/08/2022 ;14:25    ;MC               ;      1332 ;09/08/2022 ;15:20    ;MC
3301655 ;MP       ;         223 ;        0 ;      1151 ;09/08/2022 ;14:00    ;MC               ;      1082 ;09/08/2022 ;15:35    ;MC
3301659 ;MP       ;         321 ;        0 ;      7739 ;09/08/2022 ;12:05    ;MC               ;      7644 ;09/08/2022 ;13:05    ;MC
3301661 ;MP       ;         223 ;        0 ;      1351 ;09/08/2022 ;08:25    ;MC               ;      1300 ;09/08/2022 ;09:20    ;MC
3301664 ;MP       ;         319 ;        0 ;      7589 ;09/08/2022 ;21:05    ;MC               ;      1492 ;09/08/2022 ;21:55    ;MC
3301671 ;MP       ;         321 ;        0 ;      7529 ;09/08/2022 ;07:35    ;MC               ;      7714 ;09/08/2022 ;08:50    ;MC
3301727 ;MP       ;         320 ;        0 ;      1833 ;09/08/2022 ;20:00    ;MC               ;      7732 ;09/08/2022 ;21:15    ;MC
3301749 ;MP       ;         321 ;        0 ;      1775 ;09/08/2022 ;20:00    ;MC               ;      1004 ;09/08/2022 ;21:05    ;MC
3301761 ;MP       ;         319 ;        0 ;      7731 ;09/08/2022 ;17:00    ;MC               ;      7626 ;09/08/2022 ;17:50    ;MC
3301771 ;MP       ;         321 ;        0 ;      1843 ;09/08/2022 ;13:15    ;MC               ;      1774 ;09/08/2022 ;14:25    ;MC
3301787 ;MP       ;         319 ;        0 ;      7703 ;09/08/2022 ;13:15    ;MC               ;      7730 ;09/08/2022 ;14:05    ;MC
3301800 ;MP       ;         320 ;        0 ;      7663 ;09/08/2022 ;13:20    ;MC               ;      1096 ;09/08/2022 ;14:15    ;MC
3301809 ;MP       ;         223 ;        0 ;      1605 ;09/08/2022 ;20:30    ;MC               ;      1028 ;09/08/2022 ;22:05    ;MC
3301811 ;MP       ;         321 ;        0 ;      1033 ;09/08/2022 ;08:50    ;MC               ;      1842 ;09/08/2022 ;09:55    ;MC
3301813 ;MP       ;         321 ;        0 ;      7709 ;09/08/2022 ;20:00    ;MC               ;      7630 ;09/08/2022 ;21:25    ;MC
3301847 ;MP       ;         320 ;        0 ;      1263 ;09/08/2022 ;15:20    ;MC               ;      7586 ;09/08/2022 ;16:15    ;MC
3301885 ;MP       ;         319 ;        0 ;      7721 ;09/08/2022 ;07:05    ;MC               ;      1830 ;09/08/2022 ;08:15    ;MC
3301917 ;MP       ;         320 ;        0 ;       316 ;09/08/2022 ;10:50    ;MC               ;       319 ;09/08/2022 ;11:40    ;MC
3301918 ;MP       ;         320 ;        0 ;       324 ;09/08/2022 ;17:25    ;MC               ;       325 ;09/08/2022 ;18:15    ;MC
3301920 ;MP       ;         319 ;        0 ;       312 ;09/08/2022 ;14:35    ;MC               ;       313 ;09/08/2022 ;15:25    ;MC
3301921 ;MP       ;         319 ;        0 ;       300 ;09/08/2022 ;10:20    ;MC               ;       305 ;09/08/2022 ;11:10    ;MC
3301922 ;MP       ;         319 ;        0 ;       358 ;09/08/2022 ;20:40    ;MC               ;       311 ;09/08/2022 ;21:30    ;MC
3302126 ;MP       ;         737 ;        1 ;      1229 ;09/08/2022 ;08:00    ;MC               ;      1230 ;09/08/2022 ;10:15    ;MC
3302127 ;MP       ;         737 ;        1 ;      1233 ;09/08/2022 ;12:25    ;MC               ;      1234 ;09/08/2022 ;14:30    ;MC
3302128 ;MP       ;         737 ;        1 ;      1243 ;09/08/2022 ;16:30    ;MC               ;      1244 ;09/08/2022 ;18:35    ;MC
3302129 ;MP       ;         737 ;        1 ;      1245 ;09/08/2022 ;17:50    ;MC               ;      1246 ;09/08/2022 ;20:15    ;MC
3302149 ;MP       ;         737 ;        1 ;      1227 ;09/08/2022 ;07:15    ;MC               ;      1228 ;09/08/2022 ;09:30    ;MC
